test,,,,Week-1,,Week-3,,,,
NAME,Current CPU,Current Memory,INTERNAL IP,CPU%,Memory  %,CPU%,Memory  %,Comment,DEV Comments,Downtime
cds-jiogames-admin,2,4.0 GB,10.7.2.3,3.77,21.54,7.66,21.62,Minimum Infra,,
cds-jiogames-appserver-1,2,2.0 GB,10.7.1.6,4.45,57.11,3.77,56.14,Minimum Infra,,
cds-jiogames-appserver-2,2,2.0 GB,10.7.1.7,Stopped,,Stopped,,,,
cds-jiogames-mongo-master-1,2,4.0 GB,10.7.3.4,4.07,25.45,3.44,25.26,Minimum Infra,,
cds-jiogames-mongo-replica-1,2,4.0 GB,10.7.3.5,3.64,16.09,4.98,16.38,Minimum Infra,,
cds-jiogames-redis-rabbitmq,2,4.0 GB,10.7.5.3,4.61,23.28,3.59,22.97,Minimum Infra,,
cds-recharge-prod-api,2,4.0 GB,10.3.16.18,Stopped,,Stopped,,,,
coupon-grafana,8,8.0 GB,10.3.18.178,0.99,9.96,14,9.99,Underutilised,,
coupon-monitoring,4,16.0 GB,10.3.18.151,1.2,6.31,1.33,6.4,Underutilised,,
coupon-prod-admin,4,16.0 GB,10.3.2.40,14.6,9.66,16.03,9.98,Underutilised,,
coupon-prod-api-1,8,32.0 GB,10.3.16.189,17.07,7.15,19.16,7.03,Underutilised,,
coupon-prod-api-2,8,32.0 GB,10.3.17.162,16.86,7.22,19.01,7.06,Underutilised,,
coupon-prod-api-3,8,32.0 GB,10.3.17.163,10.72,6.25,12.14,6.79,Underutilised,,
coupon-prod-api-4,8,32.0 GB,10.3.17.164,11.36,6.19,11.37,6.78,Underutilised,,
coupon-prod-assignment-server,8,16.0 GB,10.3.2.192,44.97,9.97,56.9,9.96,Underutilised,,
coupon-prod-mongo-master,32,128.0 GB,10.3.1.17,10.93,52.81,20.37,51.56,Low CPU Usage,,
coupon-prod-mongo-replica,32,128.0 GB,10.3.1.18,15.41,50.62,17.01,53.74,Low CPU Usage,,
coupon-prod-mongo-replica-2,32,128.0 GB,10.3.1.33,16.77,41.61,14.23,42.05,Underutilised,,
coupon-prod-mongo-replica-3,32,128.0 GB,10.3.1.34,Stopped,,Stopped,,,,
coupon-redis-rabbitmq,16,128.0 GB,10.3.3.18,5.84,9.98,6.83,8.86,Underutilised,,
jcn-bastion,2,4.0 GB,10.10.6.2,Stopped,,Stopped,,,,
jcn-coupon-admin,4,16.0 GB,10.10.2.2,Stopped,,Stopped,,,,
jcn-coupon-api-1,8,32.0 GB,10.10.1.2,Stopped,,Stopped,,,,
jcn-coupon-api-2,8,32.0 GB,10.10.1.3,Stopped,,Stopped,,,,
jcn-coupon-api-3,8,32.0 GB,10.10.1.4,Stopped,,Stopped,,,,
jcn-coupon-api-4,8,32.0 GB,10.10.1.5,Stopped,,Stopped,,,,
jcn-coupon-assignment,4,16.0 GB,10.10.2.3,Stopped,,Stopped,,,,
jcn-coupon-mongo-master,16,64.0 GB,10.10.3.2,Stopped,,Stopped,,,,
jcn-coupon-mongo-replica,16,64.0 GB,10.10.3.3,Stopped,,Stopped,,,,
jcn-coupon-redis-rabbitmq,4,32.0 GB,10.10.5.2,Stopped,,Stopped,,,,
jcn-loyalty-mongo-master,2,4.0 GB,10.10.3.5,Stopped,,Stopped,,,,
jcn-loyalty-mongo-replica,2,4.0 GB,10.10.3.6,Stopped,,Stopped,,,,
jcn-regularcoupon-admin,2,4.0 GB,10.10.2.4,Stopped,,Stopped,,,,
jcn-regularcoupon-api-1,4,16.0 GB,10.10.1.6,Stopped,,Stopped,,,,
jcn-regularcoupon-rabbitmq,2,4.0 GB,10.10.2.6,Stopped,,Stopped,,,,
jcn-regularcoupon-redis,2,4.0 GB,10.10.2.5,Stopped,,Stopped,,,,
jioengage-prod-idc-bastion,2,2.0 GB,10.7.6.2,1.09,18.54,1.39,19.1,Minimum Infra,,
playnwin-4-admin-3,4,8.0 GB,10.3.2.36,3.41,14.87,3.14,15.12,Minimum Infra,,
playnwin-4-appserver-1,2,4.0 GB,10.3.16.183,11.35,18.86,10.89,20.18,Minimum Infra,,
playnwin-4-appserver-2,2,4.0 GB,10.3.16.184,12.4,19.23,9.72,20.49,Minimum Infra,,
playnwin-4-rabbitmq,2,16.0 GB,10.3.3.14,61.7,6.18,11.4,5.25,Underutilised,,
playnwin-4-redis-3,4,8.0 GB,10.3.4.24,1.55,3.02,1.18,3.15,Underutilised,,
regularcoupon-prod-mongo-master,8,64.0 GB,10.3.1.35,1.67,37.83,3.63,40.14,Underutilised,,
regularcoupon-prod-mongo-replica,8,64.0 GB,10.3.1.36,1.6,6.94,3.49,7.09,Underutilised,,
